id,size,color,source,target
"Уейн, Джон",0,#E59247,1980 - 1990,Argentina
"Уескер, Арнольд",0,#E59247,Argentina,Spanish
"Уїндем, Джон",0,#E59247,Spanish,"Боргес(Борхес), Хорхе Луїс"
"Уолліс, Дейв",0,#E59247,1980 - 1990,Argentina
"Фаулз, Джон",0,#E59247,Argentina,Spanish
"Флемінг, Ян",0,#E59247,Spanish,"Боргес(Борхес), Хорхе Луїс"
Форстер Е. М,0,#E59247,1980 - 1990,Argentina
"Фрімен, Річард Остін",0,#E59247,Argentina,Spanish
"Хілл, Сьюзен",0,#E59247,Spanish,"Боргес(Борхес), Хорхе Луїс"
"Чейз, Джеймс Хедлі",0,#E59247,1990 - 2000,Argentina
"Чосер, Джеффрі",0,#E59247,Argentina,Spanish
"Шекспір, Вільям(Уїльям)",0,#E59247,Spanish,"Боргес(Борхес), Хорхе Луїс"
"Шеллі, Персі Біші",0,#E59247,1990 - 2000,Argentina
"Шоу, Бернард",0,#E59247,Argentina,Spanish
"Шоу, Хейзел",0,#E59247,Spanish,"Боргес(Борхес), Хорхе Луїс"
Great Britain. Scottish Literature,28,#F2A2A11,1990 - 2000,Argentina
"Бернс, Роберт",0,#E59247,Argentina,Spanish
"Браун, Джордж Маккей",0,#E59247,Spanish,"Вальш, Марія Елена"
"Ганн, Нейл М",0,#E59247,1990 - 2000,Argentina
"Гейнз, Дороті",0,#E59247,Argentina,Spanish
"Гейтенз, Едвард",0,#E59247,Spanish,"Гонсалес Туньйон, Рауль"
English and Gaelic,2,#D1605E,1990 - 2000,Argentina
"Геріок, Роберт",0,#E59247,Argentina,Spanish
"Грей, Алісдер",0,#E59247,Spanish,"Давальос, Хайме"
"Дейві, Елспет",0,#E59247,1990 - 2000,Argentina
"English, Gaelic and Scottish spoken languages",1,#D1605E,Argentina,Spanish
"Джемісон, Роберт А",0,#E59247,Spanish,"Капдевіла, Артуро"
"Ленард, Том",0,#E59247,1990 - 2000,Argentina
"Лінклейтер, Ерік",0,#E59247,Argentina,Spanish
"Мак-Келлам, Нейл",0,#E59247,Spanish,"Касарес, Адольфо Біой"
"Макбет, Джордж",0,#E59247,1990 - 2000,Argentina
"Макдіармід, Х’ю",0,#E59247,Argentina,Spanish
"Маккейб, Брайєн",0,#E59247,Spanish,"Касарес, Адольфо Біой"
"Маккейг, Норман",0,#E59247,1990 - 2000,Argentina
"Міччісон, Наомі",0,#E59247,Argentina,Spanish
"Морган, Едвін",0,#E59247,Spanish,"Касарес, Адольфо Біой"
"Патерсон, Нейл",0,#E59247,1990 - 2000,Argentina
"Пау, Том",0,#E59247,Argentina,Spanish
"Сміт, Ян(Ієн) Крайтон",0,#E59247,Spanish,"Касарес, Адольфо Біой"
"Фінлей, Єн Гемілтон",0,#E59247,1990 - 2000,Argentina
"Форд, Джеймс Аллен",0,#E59247,Argentina,Spanish
Vietnam,47,#F2A2A11,Spanish,"Касарес, Адольфо Біой"
Vietnamese,38,#D1605E,1990 - 2000,Argentina
"Ань, Ті",0,#E59247,Argentina,Spanish
"Ань, Тхо",0,#E59247,Spanish,"Касарес, Адольфо Біой"
