id,size,color,source,target
"Радевський, Христо",1,#E59247,Albania,Albanian
"Радичков(Радічков), Йордан",1,#E59247,Albanian,"Д’ята, Фатмір"
"Разцветников, Асен",1,#E59247,1960 - 1970,Albania
"Райнов, Богомил",1,#E59247,Albania,-
"Раковський, Витьо",1,#E59247,-,"Щощ, А"
"Ралін, Радой",1,#E59247,1960 - 1970,Albania
"Северняк, Серафим",1,#E59247,Albania,-
"Славейков, Петко",1,#E59247,-,"Щощ, А"
"Славчев, Светослав",1,#E59247,1960 - 1970,Albania
"Смирненський, Христо",1,#E59247,Albania,-
"Спасов, Павел",1,#E59247,-,"Щощ, А"
"Станев, Еміліан",1,#E59247,1970 - 1980,Algeria
"Станев, Любен",1,#E59247,Algeria,French
"Стефанов, Димитр",1,#E59247,French,"Амруш, Жан"
"Стефанов, Пирван",1,#E59247,1970 - 1980,Algeria
"Стефанова, Ліляна",1,#E59247,Algeria,French
"Сгоєв, Генчо",1,#E59247,French,"Ашур, Мулуд"
"Стоянов, Людмил",1,#E59247,1970 - 1980,Algeria
"Тихолов, Георгі",1,#E59247,Algeria,French
"Тодоров, Ангел",1,#E59247,French,"Булануар, Мессаур"
"Траянов, Христо",1,#E59247,1980 - 1990,Algeria
"Узунов, Генчо",1,#E59247,Algeria,Arabic
"Фурнаджієв, Никола",1,#E59247,Arabic,"Ваттар, Ат-Тахір"
"Фучеджієв, Дико",1,#E59247,1980 - 1990,Algeria
"Хайтов, Николай",1,#E59247,Algeria,Arabic
"Ханчев, Веселин",1,#E59247,Arabic,"Ваттар, Ат-Тахір"
"Харманджієв, Тодор",1,#E59247,1980 - 1990,Algeria
"Хинкова, Василка",1,#E59247,Algeria,Arabic
"Христев, Павел",1,#E59247,Arabic,"Ваттар, Ат-Тахір"
"Христозов, Николай",1,#E59247,1980 - 1990,Algeria
"Цанев, Іван",1,#E59247,Algeria,French
"Цветанов, Богдан",1,#E59247,French,"Грекі, Анна"
"Цонев, Василь",1,#E59247,1970 - 1980,Algeria
"Цончев, Донго",1,#E59247,Algeria,French
"Чавдаров-Челкаш, Димитр",1,#E59247,French,"Джаут, Тагар"
"Шопкін, Матей",1,#E59247,1970 - 1980,Algeria
Bolivia,1.022518719,#F2A2A11,Algeria,French
"Лара, Хесус",1,#E59247,French,"Діб, Мохаммед"
"Рус, Жан",1,#E59247,1970 - 1980,Algeria
"Суарес, Хорхе",1,#E59247,Algeria,French
Brazil,1.140741992,#F2A2A11,French,"Єллес, Мурад"
"Амаду, Жоржі",1,#E59247,1970 - 1980,Algeria
"Безерра, Жуан Клімаку",1,#E59247,Algeria,French
"Верісіму, Еріку",1,#E59247,French,"Креа, Анрі"
"Гімарайнш, Бернардо",1,#E59247,1970 - 1980,Algeria
"Гімарайніп Роза, Жуан",1,#E59247,Algeria,-
"Кампуш, Морейра",1,#E59247,-,"Саадалла, Абу аль-Касим"
"Кастро Алвіс, Антоніу",1,#E59247,1950 - 1960,Algeria
"Колодій, Гелена",1,#E59247,Algeria,Arabic
"Лішпектор, Кларіс",1,#E59247,Arabic,"Салех Алжірський, Абу Абдаллаг"
"Марія де Жезус, Кароліна",1,#E59247,1970 - 1980,Algeria
Машадо де Ассіс,1,#E59247,Algeria,French
"Фігейреду, Гільєрме",1,#E59247,French,"Сенак, Жан"
Venezuela,1.033778078,#F2A2A11,1970 - 1980,Algeria
"Габальдон, Архіміро",1,#E59247,Algeria,French
"Грамко, Їда",1,#E59247,French,"Фелах, Салах"
"Леон, Карлос Августе",1,#E59247,1950 - 1960,Algeria
"Росалес, Хуліо",1,#E59247,Algeria,Arabic
"Услар П’єтрі, Артуро",1,#E59247,Arabic,"Аль-Харфі, Салех ібн-Салех"
Great Britain. English Literature,2.306085684,#F2A2A11,1970 - 1980,Algeria
"Адамс, Дуглас",1,#E59247,Algeria,French
"Армстронг, Дж",1,#E59247,French,"Шаїб, Мохаммед"
"Байрон, Джордж Гордон",1,#E59247,1970 - 1980,Angola
"Баллард, Джеймс Г",1,#E59247,Angola,Portuguese
"Бейтс, Герберт Ернест",1,#E59247,Portuguese,"Андраді, Кошта"
"Берджес, Ентоні",1,#E59247,1980 - 1990,Angola
"Берклі, Ентоні",1,#E59247,Angola,Portuguese
"Браунінг, Елізабет Баррет",1,#E59247,Portuguese,Бенудія
"Вордсворт, Вільям",1,#E59247,1950 - 1960,Angola
"Гакслі(Хакслі), Олдос",1,#E59247,Angola,Portuguese
"Генд, Ентоні",1,#E59247,Portuguese,"Круш, Віріату да"
"Гендс, Джон",1,#E59247,1970 - 1980,Angola
"Гіббс, Уолкотт",1,#E59247,Angola,Portuguese
"Годдінг, Вільям(Уїльям)",1,#E59247,Portuguese,"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]"
"Голсуорсі, Джон",1,#E59247,1970 - 1980,Angola
"Грейвз, Роберт",1,#E59247,Angola,Portuguese
"Грін, Грехем",1,#E59247,Portuguese,"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]"
"Даль, Руальд",1,#E59247,1970 - 1980,Angola
"Данкен, Рональд",1,#E59247,Angola,Portuguese
"Джекобс, Вільям",1,#E59247,Portuguese,"Нето(Нету), Агостинью [Агуштінью; Агостіньо; Агостіньйо]"
"Джонс, Ернест",1,#E59247,1970 - 1980,Angola
